Nome,Descrição,Imagem,id_
Agatha Harkness,,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg,I70754I70754
Agent Brand,,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg,Y61294Y61294
Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,W56282W56282
Agent Zero,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg,W72634W72634
Agents of Atlas,,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,T82567T82567
Aginar,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,Z75921Z75921
Air-Walker (Gabriel Lan),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,G33185G33185
Ajak,,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg,V30992V30992
Ajaxis,,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg,V77454V77454
Akemi,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,F34421F34421
Alain,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,Y46623Y46623
Albert Cleary,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,V60735V60735
Albion,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D88141D88141
Alex Power,,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg,L70042L70042
Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg,Z44992Z44992
Alexa Mendez,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,L85696L85696
Alexander Pierce,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,J75899J75899
Alice,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg,R74106R74106
Alicia Masters,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae.jpg,D90016D90016
Alpha Flight,,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg,A74508A74508
Alpha Flight (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,T43645T43645
Alvin Maker,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,P81364P81364
Amadeus Cho,,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581.jpg,P83670P83670
Amanda Sefton,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,Z32542Z32542
Amazoness,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,W53086W53086
American Eagle (Jason Strongbow),,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg,L52953L52953
Amiko,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,A53716A53716
Amora,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D26072D26072
Amphibian (Earth-712),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R90454R90454
Amun,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,N68259N68259
Ancient One,,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac.jpg,A21126A21126
Ancient One (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,N44856N44856
Angel (Angel Salvadore),"Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,X49556X49556
Angel (Thomas Halloway),,http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f.jpg,S15200S15200
Angel (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f.jpg,P79929P79929
Angel (Warren Worthington III),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,X44306X44306
Angela (Aldrif Odinsdottir),,http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73.jpg,L54448L54448
Anita Blake,,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452.jpg,F87205F87205
Anne Marie Hoag,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D88542D88542
Annihilus,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6.jpg,O77013O77013
Anole,,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9.jpg,X12431X12431
Ant-Man (Eric O'Grady),,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d.jpg,B13294B13294
Ant-Man (Hank Pym),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,N86538N86538
Ant-Man (Scott Lang),,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0.jpg,N82125N82125
Anthem,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,X61030X61030
Apocalypse,,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0.jpg,J78314J78314
Apocalypse (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,S39039S39039
Aqueduct,,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd.jpg,B39795B39795
Arachne,,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794.jpg,D31465D31465
Araña,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,F29687F29687
Arcade,,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69.jpg,R85118R85118
Arcana,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,O55336O55336
Archangel,,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180.jpg,J57255J57255
Arclight,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b.jpg,X63048X63048
Ares,,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603.jpg,A19280A19280
Argent,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,E68483E68483
Armadillo,,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02.jpg,L90096L90096
Armor (Hisako Ichiki),,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990.jpg,T55092T55092
Armory,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,E23981E23981
Arnim Zola,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer.",http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c.jpg,I76673I76673
Arsenic,,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b.jpg,I74076I74076
Artiee,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,M83265M83265
Asgardian,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,B20585B20585
Askew-Tronics,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D58395D58395
Asylum,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,O53330O53330
Atlas (Team),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,E39144E39144
Attuma,"Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people.",http://i.annihil.us/u/prod/marvel/i/mg/9/90/4ce5a862a6c48.jpg,M36166M36166
Aurora,,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072.jpg,I31598I31598
Avalanche,,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383.jpg,E61640E61640
Avengers,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team.",http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7.jpg,X44452X44452
Avengers (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D78476D78476
Azazel (Mutant),"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,V68346V68346
Balder,,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce5a7c2814ba.jpg,I36497I36497
Banshee,,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54.jpg,H61882H61882
Banshee (Theresa Rourke),"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom.",http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b.jpg,Z90312Z90312
Baron Mordo (Karl Mordo),"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more.",http://i.annihil.us/u/prod/marvel/i/mg/f/90/4ce5a86dba8a8.jpg,Z75182Z75182
Baron Strucker,,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d.jpg,Z97610Z97610
Baron Zemo (Heinrich Zemo),,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe.jpg,P50883P50883
Baron Zemo (Helmut Zemo),,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a.jpg,I15523I15523
Baroness S'Bak,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R36865R36865
Barracuda,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,C83636C83636
Bart Rozum,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D86503D86503
Bastion,,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4.jpg,F23872F23872
Batroc the Leaper,,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5.jpg,A25989A25989
Battering Ram,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.jpg,V98058V98058
Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R45508R45508
Beak,,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad.jpg,L30980L30980
Beast,,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3.jpg,J17758J17758
Beast (Earth-311),,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c.jpg,L79660L79660
Beast (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c.jpg,X30673X30673
Becatron,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,L25252L25252
Bedlam,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,M42974M42974
Beef,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.jpg,P34857P34857
Beetle (Abner Jenkins),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R50535R50535
Belasco,"Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart.",http://i.annihil.us/u/prod/marvel/i/mg/a/20/4ce5a878b487c.jpg,H41799H41799
Ben Grimm,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,I86562I86562
Ben Parker,,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c003d00c8ed9.jpg,P72670P72670
Ben Reilly,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal.",http://i.annihil.us/u/prod/marvel/i/mg/2/20/4ce5a6abaea69.jpg,C23097C23097
Ben Urich,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00373d10e5e.jpg,S13439S13439
Bengal,,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03.jpg,B44775B44775
Beta-Ray Bill,,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25.jpg,J78714J78714
Bethany Cabe,"Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark.",http://i.annihil.us/u/prod/marvel/i/mg/f/40/4ce5a8b16ee4b.jpg,Y12206Y12206
Betty Brant,,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c7c644f453fb.jpg,G53002G53002
Betty Ross,,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4ce5a12071562.jpg,P86837P86837
Beyonder,,http://i.annihil.us/u/prod/marvel/i/mg/7/10/528d31df87c49.jpg,C64205C64205
Bi-Beast,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,L41472L41472
Big Bertha,,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c0035cfca8b6.jpg,X96651X96651
Big Wheel,,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d.jpg,F32039F32039
Bill Hollister,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,U95202U95202
Bishop,,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98.jpg,F28440F28440
Bishop (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,O35015O35015
Black Bird,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,U99862U99862
Black Bolt,,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721.jpg,I16096I16096
Black Bolt (Marvel War of Heroes),,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/5239c021b3bfc.jpg,L54148L54148
Black Cat,,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c.jpg,J39494J39494
Black Cat (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e.jpg,K27021K27021
Black Crow,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,G99383G99383
Black Knight (Dane Whitman),"Nephew of the villainous Black Knight that went by the name of Nathan Garrett, Dane was summoned by his uncle when he was mortally wounded following a battle with Iron Man.",http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4ce5a883e8df0.jpg,M96199M96199
Black Knight (Sir Percy of Scandia),,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7.jpg,R22905R22905
Black Panther,,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d.jpg,B73433B73433
Black Panther (Shuri),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,E64711E64711
Black Panther (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4.jpg,P70107P70107
Black Queen,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,Q40175Q40175
Black Tarantula,,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270.jpg,L99970L99970
Black Tom,,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154.jpg,U74743U74743
Black Widow,,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b.jpg,V19978V19978
Black Widow (LEGO Marvel Super Heroes),,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5239c3722bdc5.jpg,J89417J89417
Black Widow (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261.jpg,L92767L92767
Black Widow (Yelena Belova),,http://i.annihil.us/u/prod/marvel/i/mg/8/70/4c002dee5207a.jpg,F76145F76145
Black Widow/Natasha Romanoff (MAA),"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed.",http://i.annihil.us/u/prod/marvel/i/mg/a/03/523219743a99b.jpg,Y48790Y48790
Blackheart,,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba.jpg,V99388V99388
Blacklash,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,X19273X19273
Blackout,,http://i.annihil.us/u/prod/marvel/i/mg/c/60/4ce5a6b641eb9.jpg,W19029W19029
Blade,,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4.jpg,M93413M93413
Blastaar,,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0.jpg,H73926H73926
Blazing Skull,,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a37a830a3.jpg,P93237P93237
Blindfold,,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4ce5a5f7cabea.jpg,X38313X38313
Bling!,"The mutant Roxy Washington was born into hip-hop ""royalty"" as the daughter of two famous hip-hop stars and has the power to produce diamonds of varying quality and can expel diamond shards from her body at high velocity.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R81406R81406
Blink,,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a.jpg,B38714B38714
Blizzard,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,K82857K82857
Blob,,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328.jpg,J54830J54830
Blob (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7.jpg,A46871A46871
Blockbuster,,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92.jpg,L42966L42966
Blok,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,I72215I72215
Bloke,,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c00409415b3b.jpg,D31731D31731
Blonde Phantom,,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a77360c30.jpg,T66923T66923
Bloodaxe,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,L11585L11585
Bloodscream,,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/4c7c647c3f069.jpg,L85872L85872
Bloodstorm,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,H35276H35276
Bloodstrike,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,B36136B36136
Blue Blade,,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/4ce5a4b76d1c0.jpg,B31330B31330
Blue Marvel,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,W81516W81516
Blue Shield,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D62495D62495
Blur,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,W93070W93070
"Bob, Agent of Hydra","A cowardly young man, Bob was persuaded into joining the criminal organization HYDRA and has had numerous encounters with Deadpool and other Marvel heroes.",http://i.annihil.us/u/prod/marvel/i/mg/e/a0/4ce5a4c2cd41b.jpg,A60804A60804
Boom Boom,"When Tabitha Smith's mutant nature manifested at age 13, she ran away from her abusive home and eventually hooked up with the New Mutants and, subsequently, X-Force.",http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a25d34245.jpg,W72669W72669
Boomer,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,V99679V99679
Boomerang,,http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00390504a3b.jpg,T73061T73061
Box,,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59ef63362d.jpg,D15299D15299
Bride of Nine Spiders (Immortal Weapons),,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a592212cc.jpg,T47746T47746
Bromley,,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4cd05b51df5c5.jpg,G55678G55678
Brood,,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5260321259f91.jpg,W85308W85308
Brother Voodoo,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,J74509J74509
Brotherhood of Evil Mutants,,http://i.annihil.us/u/prod/marvel/i/mg/3/30/539f01b910d91.jpg,X74312X74312
Brotherhood of Mutants (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,R14498R14498
Bruce Banner,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,D25443D25443
Brute,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,H54913H54913
Bucky,,http://i.annihil.us/u/prod/marvel/i/mg/d/03/4dc8478464008.jpg,Z67421Z67421
Bug,,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c00323e50dda.jpg,U43941U43941
Bulldozer,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,Y83072Y83072
Bullseye,,http://i.annihil.us/u/prod/marvel/i/mg/6/30/539a08f322fd1.jpg,S20147S20147
Bushwacker,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,V73529V73529
Butterfly,,http://i.annihil.us/u/prod/marvel/i/mg/8/00/4c0030b5dbc50.jpg,Z94295Z94295
Cable,,http://i.annihil.us/u/prod/marvel/i/mg/3/90/526165df2b584.jpg,L71035L71035
Cable (Deadpool),,http://i.annihil.us/u/prod/marvel/i/mg/f/50/5239c22332b00.jpg,E96048E96048
Cable (Marvel: Avengers Alliance),,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/5239b5f863d43.jpg,Q82092Q82092
Cable (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/c/10/53176a2ccd8bc.jpg,H32900H32900
Cable (X-Men: Battle of the Atom),,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/52d729bb9b84b.jpg,K53437K53437
Calamity,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,C72548C72548
Caliban,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/52bc8ac6e48db.jpg,E20633E20633
Callisto,,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c004082711b8.jpg,T91007T91007
Callisto (Age of Apocalypse),,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/535feb96ee0fb.jpg,X59339X59339
Calypso,,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59f17087ab.jpg,H51652H51652
Cammi,,http://i.annihil.us/u/prod/marvel/i/mg/d/a0/4c00309587477.jpg,L88847L88847
Cannonball,,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c00407fb91b5.jpg,Q83108Q83108
Cap'n Oz,"William was born into the ClanDestine, making him a creature that is part magic.  After events surrounding the death of his brother Vincent, he moved to Australia where he started an acting career as the superhero Cap'n Oz.",http://i.annihil.us/u/prod/marvel/i/mg/c/10/4c002ee7bf3f5.jpg,B24037B24037
Captain America,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty.",http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087.jpg,D78444D78444
Captain America (House of M),,http://i.annihil.us/u/prod/marvel/i/mg/6/10/53176a1e7c0d5.jpg,I20157I20157
Captain America (LEGO Marvel Super Heroes),,http://i.annihil.us/u/prod/marvel/i/mg/d/b0/5239c38051946.jpg,O38773O38773
Captain America (Marvel War of Heroes),,http://i.annihil.us/u/prod/marvel/i/mg/2/03/5239c005a4827.jpg,P27758P27758
Captain America (Sam Wilson),"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>",http://i.annihil.us/u/prod/marvel/i/mg/c/80/545a84a75ddaf.jpg,H12838H12838
Captain America (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/80/53176a0bb810c.jpg,H80081H80081
Captain America/Steve Rogers (MAA),"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. ",http://i.annihil.us/u/prod/marvel/i/mg/3/10/52321928eaa72.jpg,M19890M19890
Captain Britain,,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4dbf0e5d57226.jpg,C80187C80187
Captain Britain (Betsy Braddock),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,I72863I72863
Captain Britain (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/4c003574e99fb.jpg,X35578X35578
Captain Cross,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,H83482H83482
